YEAR,MM,DD,T2M_MAX,T2M_MIN,NAMES
1982,10,31,29.28,20.55,bobo
1982,11,1,30.17,20.84,bobo
1982,11,2,29.88,21.11,bobo
1982,11,3,30.8,21.29,bobo
1982,11,4,31.86,20.35,bobo
1982,11,5,31.59,18.9,bobo
1982,11,6,31.83,18.8,bobo
1982,11,7,28.37,20.34,bobo
1982,11,8,30.98,19.79,bobo
1982,11,9,32.01,21.4,bobo
1982,11,10,32.29,20.08,bobo
1982,11,11,32.44,18.28,bobo
1982,11,12,32.41,18.51,bobo
1982,11,13,31.95,18.21,bobo
1982,11,14,31.35,17.83,bobo
1982,11,15,31.79,16.15,bobo
1982,11,16,31.71,16.89,bobo
1982,11,17,32.77,17.32,bobo
1982,11,18,32.45,18.94,bobo
1982,11,19,31.64,15.56,bobo
1982,11,20,32.19,17.01,bobo
1982,11,21,29.83,16.38,bobo
1982,11,22,30.12,14.18,bobo
1982,11,23,31.28,14.94,bobo
1982,11,24,31.81,16.18,bobo
1982,11,25,31.49,15.83,bobo
1982,11,26,31.2,14.78,bobo
1982,11,27,31.71,13.69,bobo
1982,11,28,31.33,12.78,bobo
1982,11,29,30.8,12.87,bobo
1982,11,30,31.39,12.87,bobo
1982,12,1,32.11,13.48,bobo
1982,12,2,32.35,13.45,bobo
1982,12,3,32.62,12.7,bobo
1982,12,4,32.87,12.14,bobo
1982,12,5,28.76,13.55,bobo
1982,12,6,24.48,13.3,bobo
1982,12,7,27.73,11.43,bobo
1982,12,8,28.65,13.24,bobo
1982,12,9,28.82,15.77,bobo
1982,12,10,27.55,16.9,bobo
1982,12,11,29.52,16.1,bobo
1982,12,12,31.22,14.79,bobo
1982,12,13,31.65,14.86,bobo
1982,12,14,32.43,14.63,bobo
1982,12,15,33.09,18.12,bobo
1982,12,16,33.68,18.8,bobo
1982,12,17,31.31,17,bobo
1982,12,18,30.26,15.3,bobo
1982,12,19,32.92,14.87,bobo
1982,12,20,33.62,14.7,bobo
1982,12,21,34.07,14.42,bobo
1982,12,22,34.49,16.63,bobo
1982,12,23,33.28,15.17,bobo
1982,12,24,31.8,15.97,bobo
1982,12,25,31.01,17.26,bobo
1982,12,26,32.12,15.43,bobo
1982,12,27,32.31,14.01,bobo
1982,12,28,32.48,13.23,bobo
1982,12,29,33.32,14.04,bobo
1982,12,30,33.44,14.95,bobo
1982,12,31,32.55,16.11,bobo
1983,1,1,33.96,16.32,bobo
1983,1,2,33.4,14.76,bobo
