YEAR,MM,DD,PRECTOTCORR,NAMES
1982,12,2,0,bobo
1982,12,3,0,bobo
1982,12,4,0,bobo
1982,12,5,0,bobo
1982,12,6,0,bobo
1982,12,7,0,bobo
1982,12,8,0,bobo
1982,12,9,0,bobo
1982,12,10,0,bobo
1982,12,11,0,bobo
1982,12,12,0,bobo
1982,12,13,0,bobo
1982,12,14,0,bobo
1982,12,15,0,bobo
1982,12,16,0,bobo
1982,12,17,0,bobo
1982,12,18,0,bobo
1982,12,19,0,bobo
1982,12,20,0,bobo
1982,12,21,0,bobo
1982,12,22,0,bobo
1982,12,23,0,bobo
1982,12,24,0,bobo
1982,12,25,0,bobo
1982,12,26,0,bobo
1982,12,27,0,bobo
1982,12,28,0,bobo
1982,12,29,0,bobo
1982,12,30,0,bobo
1982,12,31,0,bobo
1983,1,1,0,bobo
1983,1,2,0,bobo
1983,1,3,0,bobo
1983,1,4,0,bobo
1983,1,5,0,bobo
1983,1,6,0,bobo
1983,1,7,0,bobo
1983,1,8,0,bobo
1983,1,9,0,bobo
1983,1,10,0,bobo
1983,1,11,0,bobo
1983,1,12,0,bobo
1983,1,13,0,bobo
1983,1,14,0,bobo
1983,1,15,0,bobo
1983,1,16,0,bobo
1983,1,17,0,bobo
1983,1,18,0,bobo
1983,1,19,0,bobo
1983,1,20,0,bobo
1983,1,21,0,bobo
1983,1,22,0,bobo
1983,1,23,0,bobo
1983,1,24,0,bobo
1983,1,25,0,bobo
1983,1,26,0,bobo
1983,1,27,0,bobo
1983,1,28,0,bobo
1983,1,29,0,bobo
1983,1,30,0,bobo
1983,1,31,0,bobo
1983,2,1,0,bobo
1983,2,2,0,bobo
1983,2,3,0,bobo
1983,2,4,0,bobo
1983,2,5,0,bobo
1983,2,6,0,bobo
1983,2,7,0.43,bobo
1983,2,8,0.17,bobo
1983,2,9,0.3,bobo
1983,2,10,0.01,bobo
1983,2,11,2.53,bobo
1983,2,12,0.8,bobo
1983,2,13,0.15,bobo
1983,2,14,2.36,bobo
1983,2,15,0,bobo
1983,2,16,0,bobo
1983,2,17,0,bobo
1983,2,18,0,bobo
1983,2,19,0,bobo
1983,2,20,0,bobo
1983,2,21,0,bobo
1983,2,22,0,bobo
1983,2,23,0,bobo
1983,2,24,0,bobo
1983,2,25,0,bobo
1983,2,26,0,bobo
1983,2,27,0,bobo
1983,2,28,0,bobo
1983,3,1,0,bobo
1983,3,2,0.17,bobo
1983,3,3,0.1,bobo
1983,3,4,0.55,bobo
1983,3,5,0.15,bobo
1983,3,6,0,bobo
1983,3,7,0,bobo
1983,3,8,0,bobo
1983,3,9,0,bobo
1983,3,10,0,bobo
1983,3,11,0,bobo
1983,3,12,0,bobo
1983,3,13,0,bobo
1983,3,14,0,bobo
1983,3,15,0,bobo
1983,3,16,0,bobo
1983,3,17,0,bobo
1983,3,18,0,bobo
1983,3,19,0,bobo
1983,3,20,0,bobo
1983,3,21,0,bobo
1983,3,22,0,bobo
1983,3,23,0,bobo
1983,3,24,0,bobo
1983,3,25,0,bobo
1983,3,26,0,bobo
1983,3,27,0.09,bobo
1983,3,28,0.03,bobo
1983,3,29,0.05,bobo
1983,3,30,0,bobo
1983,3,31,0,bobo
1983,4,1,0.32,bobo
1983,4,2,0.29,bobo
1983,4,3,0.17,bobo
1983,4,4,0.05,bobo
1983,4,5,0.01,bobo
1983,4,6,0,bobo
1983,4,7,0,bobo
1983,4,8,0,bobo
1983,4,9,0,bobo
1983,4,10,0.01,bobo
1983,4,11,0.19,bobo
1983,4,12,0.13,bobo
1983,4,13,0.14,bobo
1983,4,14,0.84,bobo
1983,4,15,0.13,bobo
1983,4,16,1.92,bobo
1983,4,17,10.42,bobo
1983,4,18,2.26,bobo
1983,4,19,5.79,bobo
1983,4,20,0.05,bobo
1983,4,21,0.1,bobo
1983,4,22,0.56,bobo
1983,4,23,0.23,bobo
1983,4,24,0.2,bobo
1983,4,25,0.35,bobo
1983,4,26,0,bobo
1983,4,27,0,bobo
1983,4,28,0,bobo
1983,4,29,0,bobo
1983,4,30,0,bobo
1983,5,1,4.96,bobo
1983,5,2,0.92,bobo
1983,5,3,0.23,bobo
1983,5,4,4.75,bobo
1983,5,5,2.85,bobo
1983,5,6,8.71,bobo
1983,5,7,1.97,bobo
1983,5,8,0.7,bobo
1983,5,9,0,bobo
1983,5,10,0.74,bobo
1983,5,11,1.75,bobo
1983,5,12,0.96,bobo
1983,5,13,1.11,bobo
1983,5,14,1.38,bobo
1983,5,15,1.32,bobo
1983,5,16,11.36,bobo
1983,5,17,1.34,bobo
1983,5,18,14.29,bobo
1983,5,19,1.34,bobo
1983,5,20,0.61,bobo
1983,5,21,2.79,bobo
1983,5,22,3.94,bobo
1983,5,23,2.01,bobo
1983,5,24,3.42,bobo
1983,5,25,0.89,bobo
1983,5,26,1.46,bobo
1983,5,27,3.98,bobo
1983,5,28,2.59,bobo
1983,5,29,0.72,bobo
1983,5,30,0.35,bobo
1983,5,31,4.69,bobo
1983,6,1,1.82,bobo
1983,6,2,3.18,bobo
1983,6,3,3.14,bobo
1983,6,4,3.25,bobo
1983,6,5,3.27,bobo
1983,6,6,4.24,bobo
1983,6,7,3.65,bobo
1983,6,8,1.22,bobo
1983,6,9,7.77,bobo
1983,6,10,4.64,bobo
1983,6,11,3.38,bobo
1983,6,12,2.6,bobo
1983,6,13,4.57,bobo
1983,6,14,5.85,bobo
1983,6,15,0.59,bobo
1983,6,16,7.95,bobo
1983,6,17,8.22,bobo
1983,6,18,4.82,bobo
1983,6,19,12.59,bobo
1983,6,20,1.09,bobo
1983,6,21,4.14,bobo
1983,6,22,1,bobo
1983,6,23,3.54,bobo
1983,6,24,19.98,bobo
1983,6,25,3,bobo
1983,6,26,1.98,bobo
1983,6,27,1.41,bobo
1983,6,28,0.69,bobo
1983,6,29,1.06,bobo
1983,6,30,1.96,bobo
1983,7,1,3.17,bobo
1983,7,2,3.12,bobo
1983,7,3,4.67,bobo
1983,7,4,3.57,bobo
1983,7,5,10.95,bobo
1983,7,6,9.73,bobo
1983,7,7,17.2,bobo
1983,7,8,6.36,bobo
1983,7,9,1.56,bobo
1983,7,10,3.96,bobo
1983,7,11,3.63,bobo
1983,7,12,5.25,bobo
1983,7,13,4.07,bobo
1983,7,14,4.49,bobo
1983,7,15,5.19,bobo
1983,7,16,2.94,bobo
1983,7,17,11.39,bobo
1983,7,18,11.05,bobo
1983,7,19,2.9,bobo
1983,7,20,2.97,bobo
1983,7,21,0.34,bobo
1983,7,22,1.39,bobo
1983,7,23,-9999,bobo
1983,7,24,3.73,bobo
1983,7,25,2.44,bobo
1983,7,26,4.39,bobo
1983,7,27,4.12,bobo
1983,7,28,7.7,bobo
1983,7,29,11.58,bobo
1983,7,30,7.83,bobo
1983,7,31,5.9,bobo
1983,8,1,5.04,bobo
1983,8,2,7.27,bobo
1983,8,3,5.81,bobo
1983,8,4,1.66,bobo
1983,8,5,19.68,bobo
1983,8,6,8.1,bobo
1983,8,7,16.09,bobo
1983,8,8,8.68,bobo
1983,8,9,6.27,bobo
1983,8,10,0.22,bobo
1983,8,11,8.71,bobo
1983,8,12,9.46,bobo
1983,8,13,19.29,bobo
1983,8,14,1.07,bobo
1983,8,15,0.48,bobo
1983,8,16,0.75,bobo
1983,8,17,0.92,bobo
1983,8,18,1.78,bobo
1983,8,19,3.88,bobo
1983,8,20,4.77,bobo
1983,8,21,5.9,bobo
1983,8,22,3.48,bobo
1983,8,23,4.3,bobo
1983,8,24,0.11,bobo
1983,8,25,0.63,bobo
1983,8,26,0.23,bobo
