"YEAR","MM","DD","T2M_MAX","T2M_MIN","PRECTOTCORR"
1982,12,3,32.62,12.7,0
1982,12,4,32.87,12.14,0
1982,12,5,28.76,13.55,0
1982,12,6,24.48,13.3,0
1982,12,7,27.73,11.43,0
1982,12,8,28.65,13.24,0
1982,12,9,28.82,15.77,0
1982,12,10,27.55,16.9,0
1982,12,11,29.52,16.1,0
1982,12,12,31.22,14.79,0
1982,12,13,31.65,14.86,0
1982,12,14,32.43,14.63,0
1982,12,15,33.09,18.12,0
1982,12,16,33.68,18.8,0
1982,12,17,31.31,17,0
1982,12,18,30.26,15.3,0
1982,12,19,32.92,14.87,0
1982,12,20,33.62,14.7,0
1982,12,21,34.07,14.42,0
1982,12,22,34.49,16.63,0
1982,12,23,33.28,15.17,0
1982,12,24,31.8,15.97,0
1982,12,25,31.01,17.26,0
1982,12,26,32.12,15.43,0
1982,12,27,32.31,14.01,0
1982,12,28,32.48,13.23,0
1982,12,29,33.32,14.04,0
1982,12,30,33.44,14.95,0
1982,12,31,32.55,16.11,0
1983,1,1,33.96,16.32,0
1983,1,2,33.4,14.76,0
1983,1,3,33.03,14.04,0
1983,1,4,32.49,14.52,0
1983,1,5,30.58,14.15,0
1983,1,6,28.55,12.84,0
1983,1,7,29.25,11.75,0
1983,1,8,29.82,12.92,0
1983,1,9,31.13,13.36,0
1983,1,10,31.65,13.8,0
1983,1,11,31.44,13.8,0
1983,1,12,32.09,14.07,0
1983,1,13,31.27,14.3,0
1983,1,14,30.77,14.17,0
1983,1,15,32.83,14.2,0
1983,1,16,33.51,14.79,0
1983,1,17,33.51,15.82,0
1983,1,18,34.79,15.99,0
1983,1,19,34.78,14.29,0
1983,1,20,34.36,13.8,0
1983,1,21,34.76,14.67,0
1983,1,22,34.51,15.54,0
1983,1,23,34.26,15.4,0
1983,1,24,33.25,15.44,0
1983,1,25,33.4,14.03,0
1983,1,26,32.36,13.69,0
1983,1,27,31.48,13.27,0
1983,1,28,31.01,13.69,0
1983,1,29,31.18,13.91,0
